line,severity,category,message,text
17,medium,frequent_duplicate_heading,Heading repeated 23 times; likely semantic component not structural heading: Unit Overview,Unit Overview
30,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Identifying Confusing Sentences (A2)
60,medium,frequent_duplicate_heading,Heading repeated 18 times; likely semantic component not structural heading: Compare Two Versions (B1),Compare Two Versions (B1)
60,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Compare Two Versions (B1)
69,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation","> **Why this works:** The revised version is clearer not because every sentence is short, but because each sentence has one main communicative job. Verification, action, internal checking, and possible consequence are separated into stages, so the reader does not have to process several competing re"
73,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Noticing Task (B2)
84,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation","> **Teaching point:** Segmentation is a relationship between two sentences, not a feature inside one sentence. Writers use it when one sentence is carrying too many logical jobs at once and the reader needs the information separated into clearer stages."
90,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation","> **Key principle:** Sentence clarity is not primarily about length — it is about logical load. A sentence becomes unclear when the reader has to track too many competing relationships at once. The three tools below — coordination, subordination, and segmentation — each help manage logical load in a"
106,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation","> **Note on contrast:** Both *but* and *however* express contrast between equal ideas. Use *but* for lighter contrast within a single sentence; use *; however,* when the contrast is emphatic or the ideas are more complex. Compare this with *although* (subordination), which makes the contrast idea se"
125,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation","> **Note on contrast:** *Although* and *while* express contrast subordinately — the contrasting idea is framed as background, not equal. Compare: *The guidelines were revised, but some teams continued using the previous version* (equal contrast) vs. *Although the guidelines were revised, some teams "
138,medium,heading_contains_activity_code,Heading contains activity code metadata,#### 3. Clarity Patterns for Administrative Writing (C3)
154,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation",> **Patterns 1 and 2 compared:** Both connect an action with a rationale. The difference is emphasis and order: Pattern 1 leads with the action (what will happen); Pattern 2 leads with the purpose (why it matters). Use Pattern 2 when the reason needs to come first to frame the request — especially i
186,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Rewrite the Model Text (D1)
201,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Write Your Own Complex Sentence (D2)
205,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation","> **Before you write:** Do not choose the longest sentence as the ""best"" version automatically. Choose the version that makes the relationship between ideas easiest for the intended reader to process."
235,medium,frequent_duplicate_heading,Heading repeated 12 times; likely semantic component not structural heading: Scenario-Based Free Write (E1),Scenario-Based Free Write (E1)
235,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Scenario-Based Free Write (E1)
257,medium,frequent_duplicate_heading,Heading repeated 22 times; likely semantic component not structural heading: Self-Editing Checklist (F3),Self-Editing Checklist (F3)
257,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Self-Editing Checklist (F3)
271,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Editing Exercise (G1)
289,medium,frequent_duplicate_heading,Heading repeated 23 times; likely semantic component not structural heading: Homework Writing Task (H3),Homework Writing Task (H3)
289,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Homework Writing Task (H3)
305,medium,frequent_duplicate_heading,Heading repeated 23 times; likely semantic component not structural heading: Extension Task (H1),Extension Task (H1)
305,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Extension Task (H1)
335,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Discussion Questions (A1)
358,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Compare Two Versions (B1)
367,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation","> **Why this works:** The revised version protects the working relationship. It reduces blame, gives a professional reason for the request, and makes cooperation easier by showing what the reader can do next without feeling attacked."
371,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Noticing Task (B2)
386,medium,heading_contains_activity_code,Heading contains activity code metadata,#### 1. Softening Strategies (C2)
420,medium,heading_contains_activity_code,Heading contains activity code metadata,#### 2. Neutral Clarification Language (C3)
444,medium,heading_contains_activity_code,Heading contains activity code metadata,#### 3. Audience-Appropriate Tone (C2)
475,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Rewrite the Model Text (D1)
490,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Tone Transformation (D4)
500,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation","> **Transfer reminder:** Keep the communicative purpose constant across both versions. What changes is the level of explicitness, softening, and diplomatic framing needed for the reader."
512,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Scenario-Based Free Write (E1)
535,medium,frequent_duplicate_heading,Heading repeated 12 times; likely semantic component not structural heading: Guided Peer Review (F1),Guided Peer Review (F1)
535,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Guided Peer Review (F1)
542,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Self-Editing Checklist (F3)
556,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Editing Exercise (G1)
575,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Homework Writing Task (H3)
589,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Extension Task (H1)
615,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Sorting / Categorisation (A3)
654,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Compare Two Versions (B1)
663,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation","> **Why this works:** The revised paragraph guides the reader through a sequence: topic, explanation, then implication. Each sentence grows out of the previous one, so the reader is not forced to reconstruct the logic independently."
667,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Noticing Task (B2)
682,medium,heading_contains_activity_code,Heading contains activity code metadata,#### 1. Cohesive Devices (C6)
713,medium,heading_contains_activity_code,Heading contains activity code metadata,#### 2. Reference and Continuity (C3)
734,medium,heading_contains_activity_code,Heading contains activity code metadata,#### 3. Thematic Progression (C3)
765,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Rebuild the Disjointed Model (D1)
779,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Reorganise and Rewrite (D5)
791,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation",> **Transfer reminder:** Do not just put the sentences into a correct order. Build a paragraph that moves the reader forward from topic to detail to action or implication.
803,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Scenario-Based Free Write (E1)
821,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Guided Peer Review (F1)
828,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Self-Editing Checklist (F3)
842,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Editing Exercise (G1)
860,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Homework Writing Task (H3)
876,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Extension Task (H1)
883,medium,missing_blank_before_heading,Missing blank line before heading,## Module 2 — Professional Email Writing for Interagency Contexts (Units 4–7)
912,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Problem Identification (A2)
928,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Compare Two Versions (B1)
944,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation","> **Why this works:** The improved version helps the reader act efficiently because each part of the email has a clear job. Context, purpose, explanation, request, and next step are separated, so the reader can understand what matters and what action is needed without reconstructing the logic."
949,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Structural Deconstruction (B3) ★
1006,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Practice A — Identify the Function (C2)
1019,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Practice B — Sentence Rewriting (C3)
1032,medium,frequent_duplicate_heading,Heading repeated 12 times; likely semantic component not structural heading: Model Rewriting (D1),Model Rewriting (D1)
1032,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Model Rewriting (D1)
1051,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Template-Guided Writing (D3) ★
1055,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation","> **Transfer reminder:** Treat the template as a sequence of communicative jobs, not as a rigid formula. Each section should help the reader understand why you are writing, what you need, and what happens next."
1060,medium,long_blockquote,Long blockquote group (11 lines); check if quote or callout/example,> *[Opening — acknowledge or establish context]*
1076,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Scenario Writing (D2)
1095,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Task — Write a Full High-Level Email (E1)
1122,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Peer Review (F1)
1133,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Self-Editing Checklist (F3)
1147,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Editing Exercise (G1)
1165,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Homework Writing Task (H3)
1188,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Extension Task (H1)
1214,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Problem Identification (A2)
1230,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Compare Two Versions (B1)
1247,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation",> **Why this works:** The improved version is easier to answer because each question is anchored to a specific place in the document and asks for one clear piece of clarification. The reader does not have to guess what is unclear or what kind of answer is needed.
1252,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Noticing Task (B2)
1289,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Practice A — Sentence Rewriting (C3)
1315,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Practice B — Phrase Bank Building (C8) ★
1323,low,multiple_spaces,Multiple consecutive spaces,|  |  |
1327,low,multiple_spaces,Multiple consecutive spaces,|  |  |
1341,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Model Rewriting (D1)
1359,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Two-Audience Version Task (D4)
1370,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation",> **Transfer reminder:** Precision should stay constant across both versions. What changes is the level of diplomatic framing and the amount of background support the reader needs.
1389,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Role-Based Writing Task ★ (E3)
1417,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Peer Review (F1)
1428,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Self-Editing Checklist (F3)
1442,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Editing Exercise (G1)
1464,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Homework Writing Task (H3)
1486,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Extension Task (H1)
1512,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Contrastive Warm-Up (A6) ★
1532,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Compare Two Versions (B1)
1548,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation","> **Why this works:** The improved version identifies the problem without accusing the reader. It separates the issue itself, the evidence for noticing it, the shared goal behind the request, and the action needed next, which helps keep the exchange cooperative."
1554,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Annotated Model (B4) ★
1595,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Practice A — Sentence Rewriting (C3)
1621,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Practice B — Error Identification & Correction (C4) ★
1645,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Model Rewriting (D1)
1663,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Scenario Writing (D2)
1673,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation","> **Transfer reminder:** Keep these functions separate in your draft: identify the issue, explain its impact, request the correction, and state the next step. When these functions are combined too heavily, the message often starts to sound blaming or unclear."
1686,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Task — Write a Diplomatic Error Notification (E1)
1713,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Peer Review (F1)
1724,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Self-Editing Checklist (F3)
1738,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Editing Exercise (G1)
1759,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Real-World Task (H2) ★
1774,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Homework Writing Task (H3)
1797,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Extension Task (H1)
1823,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Problem Identification (A2)
1837,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Compare Two Versions (B1)
1853,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation","> **Why this works:** The improved version reduces confusion by showing the reader which action comes first, which action depends on that first answer, and why the sequence matters. Priority and dependency are stated explicitly instead of being left for the reader to infer."
1858,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Noticing Task (B2)
1889,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Practice A — Sentence Rewriting (C3)
1900,medium,heading_contains_activity_code,Heading contains activity code metadata,#### 2. Paragraph-Level Transformation (C5) ★
1927,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Model Rewriting (D1)
1945,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Scenario Writing (D2)
1954,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation",> **Transfer reminder:** Do not just add sequence markers mechanically. Use them to show the reader which action unlocks the next stage and why that order matters.
1967,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Task — Write a Multi-Part Request Message (E1)
1994,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Peer Review (F1)
2005,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Self-Editing Checklist (F3)
2019,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Editing Exercise (G1)
2035,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Homework Writing Task (H3)
2057,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Extension Task (H1)
2064,medium,missing_blank_before_heading,Missing blank line before heading,## Module 3 — Writing Complex Procedures & Internal Explanations (Units 8–11)
2094,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Real Document Analysis (A5)
2100,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation",> **Office Circular — Document Verification Procedure (Revised)**
2117,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Compare Two Versions (B1)
2141,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation","> **Why this works:** The improved version reduces reader error because each step has one clear job, appears in a predictable order, and uses a consistent instruction style. The reader does not have to infer what happens first, what depends on a condition, or when the procedure is complete."
2143,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Noticing Task (B2)
2158,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Sequencing / Ordering Task (C6)
2171,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Sentence Rewriting (C3)
2197,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Model Rewriting (D1)
2212,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Information Reorganisation (D5)
2214,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation","> **Transfer reminder:** When you reorganise paragraph information into a procedure, keep the action order, condition signals, and instruction style consistent. If two actions happen at different stages, separate them instead of burying them in one sentence."
2232,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Scenario-Based Free Write (E1)
2258,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Guided Peer Review (F1)
2267,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Self-Editing Checklist (F3)
2282,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Editing Workshop — Paragraph-Level (G2)
2308,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Homework Writing Task (H3)
2328,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Extension Task (H1)
2338,medium,missing_blank_before_heading,Missing blank line before heading,## Unit 9 — Change Management Writing
2354,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Prediction Task (A4)
2360,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation","> **Scenario:** Your office has updated the procedure for reviewing applicant submissions. The main change is that the initial review stage, which previously required sign-off from two officers, now requires only one. This change takes effect on 1 November. Staff in your office and in three partner "
2382,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Compare Two Versions (B1)
2399,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation","> **Why this works:** The improved notice balances three jobs at once: it states the change clearly, explains why the change has been introduced, and reassures the reader that support is available. That combination helps readers understand the change and act on it without unnecessary uncertainty."
2401,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Annotated Model (B4)
2419,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Sentence Rewriting (C3)
2431,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Expansion Task (C7)
2452,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Model Rewriting (D1)
2468,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Template-Guided Writing (D3)
2470,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation","> **Transfer reminder:** Do not treat the template as five isolated boxes. Use it to preserve the logic of effective change communication: state the change, explain why it matters, guide the reader’s action, and reduce uncertainty through support."
2506,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Scenario-Based Free Write (E1)
2532,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Guided Peer Review (F1)
2541,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Self-Editing Checklist (F3)
2556,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Editing Workshop — Paragraph-Level (G2)
2583,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Homework Writing Task (H3)
2604,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Extension Task (H1)
2614,medium,missing_blank_before_heading,Missing blank line before heading,## Unit 10 — Explaining Complex Issues
2630,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Problem Identification (A2)
2647,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Compare Two Versions (B1)
2664,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation","> **Why this works:** The improved version is easier for a non-specialist reader to process because it names the number of factors up front, separates them clearly, and supports each one with specific detail. The reader can understand both the problem and its effect without sorting through vague gen"
2666,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Noticing Task (B2)
2682,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Classification / Matching (C2)
2702,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Sentence Rewriting (C3)
2726,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Model Rewriting (D1)
2742,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Scenario-Based Writing (D2)
2767,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Constrained Free Write (E2)
2773,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation",> **Transfer reminder:** This constraint is not arbitrary. It forces you to apply the unit’s main principle: each broad explanation must be anchored in concrete evidence so the reader can understand the issue without guessing.
2793,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Guided Peer Review (F1)
2802,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Self-Editing Checklist (F3)
2817,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Editing Exercise (G1)
2840,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Homework Writing Task (H3)
2861,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Extension Task (H1)
2871,medium,missing_blank_before_heading,Missing blank line before heading,## Unit 11 — Executive-Level Meeting Summaries
2887,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Problem Identification (A2)
2903,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Compare Two Versions (B1)
2911,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation",> **Meeting Summary — Guideline Revision Discussion (12 October)**
2911,medium,long_blockquote,Long blockquote group (15 lines); check if quote or callout/example,> **Meeting Summary — Guideline Revision Discussion (12 October)**
2934,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation","> **Why this works:** The improved version does not retell the meeting in time order. Instead, it groups information by managerial function: what the meeting was about, what mattered, what was decided, and what happens next. That makes the summary more useful for a reader who needs action and accoun"
2936,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Data Interpretation Input (B7)
2959,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Sentence Rewriting (C3)
2971,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Paragraph-Level Transformation (C5)
2991,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Model Rewriting (D1)
3007,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Format Conversion (D7)
3009,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation","> **Transfer reminder:** When you convert notes into an executive summary, group information by significance and action, not by the order in which points appeared during the meeting."
3045,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Scenario-Based Free Write (E1)
3072,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Guided Peer Review (F1)
3081,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Self-Editing Checklist (F3)
3096,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Editing Workshop — Paragraph-Level (G2)
3122,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Homework Writing Task (H3)
3144,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Extension Task (H1)
3153,medium,missing_blank_before_heading,Missing blank line before heading,## Module 4 — Cross-Border & Interagency Communication (Units 12–15)
3183,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Real Document Analysis (A5)
3213,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Compare Two Versions (B1)
3230,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation","> **Why this works:** The improved inquiry helps an external reader because it provides enough background to identify the case, asks focused questions that can be answered directly, and signals why the information is needed on the writer’s side."
3234,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Structural Deconstruction (B3)
3269,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Classification / Matching (C2)
3307,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Phrase Bank Building (C8)
3343,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Rewrite the Original Inquiry (D1)
3358,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Two-Audience Version Task (D4)
3360,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation","> **Transfer reminder:** When you switch from an external to an internal audience, change the level of background explanation, not the core information. A familiar internal reader needs less orientation, but the task, status, and next-step logic should still remain clear."
3378,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Role-Based Writing Task (E3)
