line,severity,category,message,text
3405,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Comparative Peer Review (F2)
3416,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Self-Editing Checklist (F3)
3431,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Editing Workshop — Paragraph-Level (G2)
3455,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Real-World Task (H2)
3465,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Homework Writing Task (H3)
3486,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Extension Task (H1)
3514,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Prediction Task (A4)
3527,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Compare Two Versions (B1)
3544,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation","> **Why this works:** The improved paragraph separates four different jobs that weak risk writing often blurs together: identifying the risk, explaining its cause, showing the likely impact, and proposing mitigation. That makes the assessment more analytical and more useful for decision-making."
3548,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Data Interpretation Input (B7)
3589,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Sentence Rewriting (C3)
3625,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Error Identification & Correction (C4)
3640,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Rewrite the Original Text (D1)
3655,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Scenario-Based Risk Assessment (D2)
3657,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation","> **Transfer reminder:** Keep the sequence visible in your draft: evidence or issue first, then likely impact, then response. If those functions are mixed together, the assessment often starts to sound vague or overstated."
3683,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Scenario-Based Free Write (E1)
3709,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Guided Peer Review (F1)
3718,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Self-Editing Checklist (F3)
3733,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Editing Exercise — Conditional and Hedging Structures (G1)
3764,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Homework Writing Task (H3)
3784,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Extension Task (H1)
3812,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Contrastive Warm-Up (A6)
3831,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Compare Two Versions (B1)
3848,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation","> **Why this works:** The improved version shows what changes across audiences and what stays stable. The core instruction remains the same for everyone, but the supporting context is adjusted so that less-informed readers can still understand the message without being left behind."
3852,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Annotated Model (B4)
3891,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Sentence Rewriting (C3)
3913,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Paragraph-Level Transformation (C5)
3933,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Rewrite the Original Message (D1)
3948,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Two-Audience Version Task (D4)
3950,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation","> **Transfer reminder:** Keep the core message stable across both versions. What should change is the amount of context, the explicitness of audience signals, and the level of explanation needed for each reader group."
3973,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Multi-Part Portfolio Task (E4)
3997,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Guided Peer Review (F1)
4006,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Self-Editing Checklist (F3)
4021,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Editing Workshop — Paragraph-Level (G2)
4045,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Homework Writing Task (H3)
4059,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Extension Task (H1)
4087,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Real Document Analysis (A5)
4109,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Compare Two Versions (B1)
4126,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation","> **Why this works:** The improved rationale is more persuasive because it links three elements clearly: the policy requirement, the operational problem, and the benefit of the proposed change. The reasoning is visible rather than implied."
4130,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Reading-to-Write Input (B6)
4170,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Sentence Rewriting (C3)
4190,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Expansion Task (C7)
4211,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Rewrite the Original Rationale (D1)
4225,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Template-Guided Writing (D3)
4227,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation","> **Transfer reminder:** Use the template as a logic chain rather than as fixed wording. A strong rationale moves from recommendation to policy support to operational reasoning to benefit, without leaving any link implicit."
4252,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Scenario-Based Free Write (E1)
4279,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Guided Peer Review (F1)
4288,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Self-Editing Checklist (F3)
4303,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Track-Change Simulation (G3)
4330,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Homework Writing Task (H3)
4351,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Extension Task (H1)
4358,medium,missing_blank_before_heading,Missing blank line before heading,## Module 5 — Advanced Editing & Revision Skills (Units 16–18)
4388,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Sorting / Categorisation (A3)
4394,low,multiple_spaces,Multiple consecutive spaces,|  |  |
4413,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Compare Two Versions (B1)
4421,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation","> **Overall Assessment:** The revised document provides clearer guidance in several sections, particularly the updated chronology table. The structure is generally easier to follow than the previous version."
4421,medium,long_blockquote,Long blockquote group (11 lines); check if quote or callout/example,"> **Overall Assessment:** The revised document provides clearer guidance in several sections, particularly the updated chronology table. The structure is generally easier to follow than the previous version."
4440,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation","> **Why this works:** The improved evaluation is more credible because it separates observation from judgement. It names specific strengths and weaknesses, supports them with evidence, and frames recommendations as constructive improvements rather than personal criticism."
4442,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Annotated Model (B4)
4461,medium,heading_contains_activity_code,Heading contains activity code metadata,"#### Sentence Rewriting — Objective, Neutral Language (C3)"
4481,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Error Identification & Correction (C4)
4504,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Model Rewriting (D1)
4521,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Revision Chain (D6)
4523,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation","> **Transfer reminder:** As you revise, check whether each claim matches the strength of the evidence. If the problem is local, describe it locally. If the document has both strengths and weaknesses, make both visible."
4552,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Scenario-Based Free Write (E1)
4577,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Comparative Peer Review (F2)
4583,low,multiple_spaces,Multiple consecutive spaces,| Balanced — acknowledges both strengths and weaknesses |  |  |  |
4584,low,multiple_spaces,Multiple consecutive spaces,| Neutral tone — avoids emotional or vague language |  |  |  |
4585,low,multiple_spaces,Multiple consecutive spaces,| Specific — references particular sections or features |  |  |  |
4586,low,multiple_spaces,Multiple consecutive spaces,"| Constructive — recommendations are solutions, not criticisms |  |  |  |"
4587,low,multiple_spaces,Multiple consecutive spaces,| Well structured — follows clear evaluation format |  |  |  |
4591,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Self-Editing Checklist (F3)
4605,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Track-Change Simulation (G3)
4618,low,multiple_spaces,Multiple consecutive spaces,| *bad* → *in need of significant revision* |  |  |
4619,low,multiple_spaces,Multiple consecutive spaces,| *instructions are confusing* → *instructions in Section 2 lack sufficient clarity for new users* |  |  |
4620,low,multiple_spaces,Multiple consecutive spaces,| *Nobody* → *No office* |  |  |
4621,low,multiple_spaces,Multiple consecutive spaces,| *a lot of* → *additional* |  |  |
4622,low,multiple_spaces,Multiple consecutive spaces,| *nice* / *great* → *clear and well-formatted* / *useful* |  |  |
4633,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Homework Writing Task (H3)
4647,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Extension Task (H1)
4672,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Prediction Task (A4)
4686,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Compare Two Versions (B1)
4694,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation","> **Overview:** The working group reviewed the proposed revision to the applicant communication form, focusing on clarity, consistency, and feasibility."
4711,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation","> **Why this works:** The improved brief foregrounds decision-relevant content. Instead of retelling the discussion, it selects the points an executive needs in order to understand the issue, its implications, and the recommended next step."
4713,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Data Interpretation Input (B7)
4734,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Sentence Rewriting — Writing Clear Overviews and Key Points (C3)
4759,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Paragraph-Level Transformation (C5)
4777,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Model Rewriting (D1)
4793,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Format Conversion (D7)
4795,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation","> **Transfer reminder:** Group information by significance, not by the order in which comments were made. A strong executive brief selects what matters for the decision rather than reproducing the meeting record."
4821,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Scenario-Based Free Write (E1)
4847,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Guided Peer Review (F1)
4857,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Self-Editing Checklist (F3)
4869,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Editing Workshop — Paragraph-Level (G2)
4887,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Homework Writing Task (H3)
4908,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Extension Task (H1)
4933,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Real Document Analysis (A5)
4955,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Compare Two Versions (B1)
4972,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation","> **Why this works:** The improved paragraph is more useful because it groups information by theme rather than by source. It shows where sources overlap, where they differ, and what the combined evidence suggests."
4974,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Reading-to-Write Input (B6)
4992,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Sentence Rewriting — Grouping Information and Showing Relationships (C3)
5023,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Phrase Bank Building (C8)
5043,low,multiple_spaces,Multiple consecutive spaces,|  |  |  |  |
5059,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Model Rewriting (D1)
5075,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Scenario Writing (D2)
5077,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation","> **Transfer reminder:** In your revision, do not just add synthesis phrases mechanically. Use them to group related evidence, show relationships across sources, and end with a point that goes beyond listing."
5079,low,trailing_space,Trailing whitespace,Return to the paragraph you wrote in Section B (B6). Compare it with the Improved Version from Section B1. 
5100,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Scenario-Based Free Write (E1)
5125,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Comparative Peer Review (F2)
5131,low,multiple_spaces,Multiple consecutive spaces,"| Organised by theme, not source-by-source |  |  |  |"
5132,low,multiple_spaces,Multiple consecutive spaces,| Shows contrasts or agreements clearly |  |  |  |
5133,low,multiple_spaces,Multiple consecutive spaces,| Moves beyond listing to provide insight |  |  |  |
5134,low,multiple_spaces,Multiple consecutive spaces,| Uses appropriate synthesis language |  |  |  |
5135,low,multiple_spaces,Multiple consecutive spaces,"| Formal, neutral tone throughout |  |  |  |"
5137,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Self-Editing Checklist (F3)
5149,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Editing Workshop — Paragraph-Level (G2)
5167,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Real-World Task (H2)
5181,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Homework Writing Task (H3)
5194,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Extension Task (H1)
5203,medium,missing_blank_before_heading,Missing blank line before heading,## Module 6 — Capstone & Applied Administrative Writing (Units 19–23)
5233,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Contrastive Warm-Up (A6)
5251,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Reading-to-Write Input (B6)
5274,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Compare the Versions (B1)
5294,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation","> **Why this works:** The improved version is more accessible because it keeps the policy meaning intact while replacing specialist references with clear action-oriented explanation. It tells non-expert readers what is changing, why it matters, and what they need to do."
5386,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Rewrite the Model Text (D1)
5401,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Format Conversion (D7)
5403,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation","> **Transfer reminder:** When you simplify a specialist bulletin, preserve what matters for the reader’s action. Change the wording and explanation density, but do not drop the deadline, the core requirement, or the consequence of non-action."
5429,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Role-Based Writing Task (E3)
5431,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation","> **Role reminder:** Your position in this task shapes how you write. You sit between the teams that produce policy and the offices that must implement it. Your job is not just to pass information on — it is to make sure that non-expert readers understand what is changing and what they need to do, w"
5459,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Guided Peer Review (F1)
5471,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Self-Editing Checklist (F3)
5488,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Editing Workshop — Paragraph-Level (G2)
5511,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Homework Writing Task (H3)
5533,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Extension Task (H1)
5561,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Problem Identification (A2)
5577,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Compare the Versions (B1)
5595,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation","> **Why this works:** The stronger justification makes the logic visible. It states the decision, identifies the problem that required it, links the change to a policy or standards basis, and explains the benefit that follows."
5717,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Rewrite the Original Justification (D1)
5732,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Draft a Justification for One Scenario (D2)
5734,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation","> **Transfer reminder:** Keep the sequence visible in your paragraph. State the decision first, then show why it was made, then explain what improvement it is expected to produce."
5754,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Scenario-Based Free Write (E1)
5780,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Guided Peer Review (F1)
5792,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Self-Editing Checklist (F3)
5807,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Editing Workshop — Paragraph-Level (G2)
5830,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Homework Writing Task (H3)
5850,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Extension Task (H1)
5878,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Real Document Analysis (A5)
5898,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Compare the Versions (B1)
5906,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation",> **Summary**
5906,medium,long_blockquote,Long blockquote group (20 lines); check if quote or callout/example,> **Summary**
5927,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation","> **Why this works:** The improved report is easier to use because it groups information by reporting function rather than by office or by chronology. Readers can immediately see the overall status, the issues, the actions already taken, the unresolved questions, and what happens next."
5929,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Structural Deconstruction (B3)
5939,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Data Interpretation Input (B7)
6082,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Rewrite the Original Report (D1)
6098,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Information Reorganisation (D5)
6117,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Format Conversion (D7)
6119,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation","> **Transfer reminder:** When converting a narrative update into a report, group points under the section that matches their function. Do not let unresolved questions remain buried inside status description."
6137,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Multi-Part Portfolio Task (E4)
6182,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Comparative Peer Review (F2)
6190,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Self-Editing Checklist (F3)
6206,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Editing Workshop — Paragraph-Level (G2)
6230,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Homework Writing Task (H3)
6245,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Extension Task (H1)
6273,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Prediction Task (A4)
6295,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Reading-to-Write Input (B6)
6323,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Compare the Versions (B1)
6336,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation","> **Why this works:** The integrated response is more useful because it brings the inputs together under a shared purpose. Instead of reacting to each source separately, it identifies the common implementation problem and turns it into coordinated action."
6342,medium,heading_contains_activity_code,Heading contains activity code metadata,#### 1. Error Identification and Correction (C4)
6356,medium,heading_contains_activity_code,Heading contains activity code metadata,#### 2. Paragraph-Level Transformation (C5)
6381,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Model Rewriting (D1)
6396,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Revision Chain (D6)
6398,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation","> **Transfer reminder:** In revision, check whether your draft synthesises issues, uses a format that fits the audience, and turns the inputs into clear action. If it still reads like a list of separate source notes, the integration is not yet complete."
6423,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Multi-Part Portfolio Task (E4)
6456,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Comparative Peer Review (F2)
6464,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Self-Editing Checklist (F3)
6480,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Track-Change Simulation (G3)
6504,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Homework Writing Task (H3)
6520,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Extension Task (H1)
6548,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Discussion Questions (A1)
6560,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Compare Two Versions — Exemplar Analysis (B1)
6603,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation","> **Why this works:** Response B succeeds because it integrates multiple course-level skills at once: synthesis across inputs, neutral administrative tone, grouped issue reporting, and action-focused next steps. The response is strong not because it is longer, but because each sentence performs a cl"
6609,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Error Identification and Correction — Self-Diagnosis (C4)
6637,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Revision Chain — Prior Work (D6)
6639,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation","> **Transfer reminder:** Use this revision step to check your writing against the major skill strands of the course: synthesis, tone control, justification, structure, and action clarity. If one strand is weak, revise that strand deliberately rather than editing randomly."
6665,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Multi-Part Portfolio Task (E4)
6667,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation","> **Planning reminder:** The strongest capstone responses start by choosing a format that matches the supervisor’s stated need, then grouping issues thematically before drafting any sentences."
6701,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Self-Assessment Rubric (F3)
6703,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation","> **Rubric note:** These categories reflect the book's major skill strands: meeting the brief, handling source material, synthesising information, showing judgment, proposing actions, controlling tone, structuring ideas, and writing precisely. Use the rubric to diagnose how well your capstone respon"
6724,low,multiple_spaces,Multiple consecutive spaces,"| Task Fulfillment | Meets the brief and uses a suitable format for the purpose and audience | Meets most of the brief, but the format or focus is uneven | Misses part of the brief or uses an unsuitable format |  |  |"
6725,low,multiple_spaces,Multiple consecutive spaces,"| Source Coverage | Uses all five input sources accurately | Uses most inputs, but some details are blurred or omitted | Omits, misreads, or underuses key inputs |  |  |"
6726,low,multiple_spaces,Multiple consecutive spaces,"| Synthesis | Integrates sources thematically rather than listing them | Shows some synthesis, but parts still read source by source | Mostly lists source information separately |  |  |"
6727,low,multiple_spaces,Multiple consecutive spaces,"| Issue Analysis and Judgment | Identifies the real issues and shows sound administrative judgment | Identifies the main issues, but analysis is partial or uneven | Issues are vague, shallow, or poorly judged |  |  |"
6728,low,multiple_spaces,Multiple consecutive spaces,"| Actions and Next Steps | Recommends specific, realistic, time-bound actions | Recommends partly useful actions, but some are not specific or time-bound | Actions are vague, unrealistic, or missing |  |  |"
6729,low,multiple_spaces,Multiple consecutive spaces,"| Audience, Tone, and Register | Maintains a formal, neutral, diplomatic tone suited to the reader | Tone is mostly appropriate, but inconsistent in places | Tone is informal, vague, emotional, or poorly matched to the reader |  |  |"
6730,low,multiple_spaces,Multiple consecutive spaces,"| Structure and Cohesion | Organises information clearly and makes the document easy to follow | Organisation is generally clear, but grouping or flow is uneven | Structure is hard to follow or poorly grouped |  |  |"
6731,low,multiple_spaces,Multiple consecutive spaces,"| Language Precision | Uses clear, specific, controlled language throughout | Meaning is mostly clear, but some phrasing is loose or imprecise | Vague or imprecise language weakens the document |  |  |"
6739,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Track-Change Simulation (G3)
6755,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Homework Writing Task (H3)
6771,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Extension Task (H1)
6782,medium,missing_blank_after_heading,Missing blank line after heading,# Unit 23 Capstone Assessment Rubric
6782,medium,missing_blank_before_heading,Missing blank line before heading,# Unit 23 Capstone Assessment Rubric
6783,medium,missing_blank_before_heading,Missing blank line before heading,"## Administrative Writing, Advanced"
6795,low,multiple_spaces,Multiple consecutive spaces,  - a consolidated report for the supervisor
6796,low,multiple_spaces,Multiple consecutive spaces,  - an administrative notice for all offices
6797,low,multiple_spaces,Multiple consecutive spaces,  - an integrated briefing document combining both audiences
