paragraph_type,forms,total,line,form,kind,text
title:a. adding information,heading-5=1,1,792,heading-5,heading,##### A. Adding Information
title:a. opening & activation,heading-3=23,23,28,heading-3,heading,### A. Opening & Activation
title:a. opening & activation,heading-3=23,23,394,heading-3,heading,### A. Opening & Activation
title:a. opening & activation,heading-3=23,23,712,heading-3,heading,### A. Opening & Activation
title:a. opening & activation,heading-3=23,23,1045,heading-3,heading,### A. Opening & Activation
title:a. opening & activation,heading-3=23,23,1380,heading-3,heading,### A. Opening & Activation
title:a. opening & activation,heading-3=23,23,1710,heading-3,heading,### A. Opening & Activation
title:a. opening & activation,heading-3=23,23,2071,heading-3,heading,### A. Opening & Activation
title:a. opening & activation,heading-3=23,23,2368,heading-3,heading,### A. Opening & Activation
title:actions taken,bold-only=1,1,6906,bold-only,bold-title,**Actions Taken**
"title:administrative writing, advanced",heading-4=1,1,7925,heading-4,heading,"#### Administrative Writing, Advanced"
title:analytic rubric,heading-4=1,1,7969,heading-4,heading,#### Analytic Rubric
title:annotated model - model feature analysis,heading-4=3,3,2733,heading-4,heading,#### Annotated Model — Model Feature Analysis (B4)
title:annotated model - model feature analysis,heading-4=3,3,4449,heading-4,heading,#### Annotated Model — Model Feature Analysis (B4)
title:annotated model - model feature analysis,heading-4=3,3,5175,heading-4,heading,#### Annotated Model — Model Feature Analysis (B4)
title:annotated model - model feature analysis (code) ★,heading-4=1,1,1762,heading-4,heading,#### Annotated Model — Model Feature Analysis (B4) ★
title:applicant processing - code summary,bold-only=1,1,5508,bold-only,bold-title,**Applicant Processing — Q3 Summary**
title:areas for improvement:,bold-only=1,1,5152,bold-only,bold-title,**Areas For Improvement:**
"title:asking clear, answerable questions",heading-4=1,1,3764,heading-4,heading,"#### 2. Asking Clear, Answerable Questions"
title:audience signals and layered explanation,heading-4=1,1,4481,heading-4,heading,#### 1. Audience Signals and Layered Explanation
title:audience-appropriate tone - guided skill practice,heading-4=1,1,523,heading-4,heading,#### 3. Audience-Appropriate Tone — Guided Skill Practice (C2)
title:avoiding assumed knowledge,heading-4=1,1,4510,heading-4,heading,#### 2. Avoiding Assumed Knowledge
title:b. model text,heading-3=23,23,48,heading-3,heading,### B. Model Text
title:b. model text,heading-3=23,23,412,heading-3,heading,### B. Model Text
title:b. model text,heading-3=23,23,743,heading-3,heading,### B. Model Text
title:b. model text,heading-3=23,23,1061,heading-3,heading,### B. Model Text
title:b. model text,heading-3=23,23,1396,heading-3,heading,### B. Model Text
title:b. model text,heading-3=23,23,1730,heading-3,heading,### B. Model Text
title:b. model text,heading-3=23,23,2085,heading-3,heading,### B. Model Text
title:b. model text,heading-3=23,23,2395,heading-3,heading,### B. Model Text
title:b. showing result,heading-5=1,1,796,heading-5,heading,##### B. Showing Result
title:building the rationale: reasoning and benefits,heading-4=1,1,4849,heading-4,heading,#### 2. Building the Rationale: Reasoning and Benefits
title:c. language focus,heading-3=23,23,101,heading-3,heading,### C. Language Focus
title:c. language focus,heading-3=23,23,457,heading-3,heading,### C. Language Focus
title:c. language focus,heading-3=23,23,788,heading-3,heading,### C. Language Focus
title:c. language focus,heading-3=23,23,1102,heading-3,heading,### C. Language Focus
title:c. language focus,heading-3=23,23,1440,heading-3,heading,### C. Language Focus
title:c. language focus,heading-3=23,23,1810,heading-3,heading,### C. Language Focus
title:c. language focus,heading-3=23,23,2129,heading-3,heading,### C. Language Focus
title:c. language focus,heading-3=23,23,2450,heading-3,heading,### C. Language Focus
title:c. showing contrast,heading-5=1,1,800,heading-5,heading,##### C. Showing Contrast
title:capstone scenario,bold-only=1,1,7660,bold-only,bold-title,**Capstone Scenario**
title:change management notice template,bold-only=1,1,2826,bold-only,bold-title,**Change Management Notice Template**
title:clarity patterns for administrative writing - guided skill practice,heading-4=1,1,169,heading-4,heading,#### 3. Clarity Patterns For Administrative Writing — Guided Skill Practice (C3)
title:classification / matching - match functions and forms,heading-4=2,2,3057,heading-4,heading,#### Classification / Matching — Match Functions And Forms (C2)
title:classification / matching - match functions and forms,heading-4=2,2,3734,heading-4,heading,#### Classification / Matching — Match Functions And Forms (C2)
title:cohesive devices - guided skill practice,heading-4=1,1,790,heading-4,heading,#### 1. Cohesive Devices — Guided Skill Practice (C6)
title:comparative peer review - compare revision choices,heading-4=5,5,3910,heading-4,heading,#### Comparative Peer Review — Compare Revision Choices (F2)
title:comparative peer review - compare revision choices,heading-4=5,5,5344,heading-4,heading,#### Comparative Peer Review — Compare Revision Choices (F2)
title:comparative peer review - compare revision choices,heading-4=5,5,5996,heading-4,heading,#### Comparative Peer Review — Compare Revision Choices (F2)
title:comparative peer review - compare revision choices,heading-4=5,5,7236,heading-4,heading,#### Comparative Peer Review — Compare Revision Choices (F2)
title:comparative peer review - compare revision choices,heading-4=5,5,7546,heading-4,heading,#### Comparative Peer Review — Compare Revision Choices (F2)
title:compare two texts - exemplar analysis,heading-4=1,1,7654,heading-4,heading,#### Compare Two Texts — Exemplar Analysis (B1)
title:compare two texts - tone and clarity analysis,heading-4=22,22,65,heading-4,heading,#### Compare Two Texts — Tone And Clarity Analysis (B1)
title:compare two texts - tone and clarity analysis,heading-4=22,22,427,heading-4,heading,#### Compare Two Texts — Tone And Clarity Analysis (B1)
title:compare two texts - tone and clarity analysis,heading-4=22,22,758,heading-4,heading,#### Compare Two Texts — Tone And Clarity Analysis (B1)
title:compare two texts - tone and clarity analysis,heading-4=22,22,1063,heading-4,heading,#### Compare Two Texts — Tone And Clarity Analysis (B1)
title:compare two texts - tone and clarity analysis,heading-4=22,22,1398,heading-4,heading,#### Compare Two Texts — Tone And Clarity Analysis (B1)
title:compare two texts - tone and clarity analysis,heading-4=22,22,1732,heading-4,heading,#### Compare Two Texts — Tone And Clarity Analysis (B1)
title:compare two texts - tone and clarity analysis,heading-4=22,22,2087,heading-4,heading,#### Compare Two Texts — Tone And Clarity Analysis (B1)
title:compare two texts - tone and clarity analysis,heading-4=22,22,2397,heading-4,heading,#### Compare Two Texts — Tone And Clarity Analysis (B1)
title:constrained free write - controlled independent response,heading-4=1,1,3158,heading-4,heading,#### Constrained Free Write — Controlled Independent Response (E2)
title:contrastive warm-up - compare initial choices,heading-4=2,2,4391,heading-4,heading,#### Contrastive Warm-Up — Compare Initial Choices (A6)
title:contrastive warm-up - compare initial choices,heading-4=2,2,6113,heading-4,heading,#### Contrastive Warm-Up — Compare Initial Choices (A6)
title:contrastive warm-up - compare initial choices (code) ★,heading-4=1,1,1712,heading-4,heading,#### Contrastive Warm-Up — Compare Initial Choices (A6) ★
title:coordination (joining equal ideas),heading-4=1,1,109,heading-4,heading,#### 1. Coordination (Joining Equal Ideas)
title:d. clarifying or specifying,heading-5=1,1,804,heading-5,heading,##### D. Clarifying Or Specifying
title:d. guided writing,heading-3=23,23,226,heading-3,heading,### D. Guided Writing
title:d. guided writing,heading-3=23,23,554,heading-3,heading,### D. Guided Writing
title:d. guided writing,heading-3=23,23,879,heading-3,heading,### D. Guided Writing
title:d. guided writing,heading-3=23,23,1174,heading-3,heading,### D. Guided Writing
title:d. guided writing,heading-3=23,23,1516,heading-3,heading,### D. Guided Writing
title:d. guided writing,heading-3=23,23,1876,heading-3,heading,### D. Guided Writing
title:d. guided writing,heading-3=23,23,2183,heading-3,heading,### D. Guided Writing
title:d. guided writing,heading-3=23,23,2494,heading-3,heading,### D. Guided Writing
title:data interpretation input - source data analysis,heading-4=4,4,3359,heading-4,heading,#### Data Interpretation Input — Source Data Analysis (B7)
title:data interpretation input - source data analysis,heading-4=4,4,4078,heading-4,heading,#### Data Interpretation Input — Source Data Analysis (B7)
title:data interpretation input - source data analysis,heading-4=4,4,5502,heading-4,heading,#### Data Interpretation Input — Source Data Analysis (B7)
title:data interpretation input - source data analysis,heading-4=4,4,6935,heading-4,heading,#### Data Interpretation Input — Source Data Analysis (B7)
title:decisions / action items:,bold-only=1,1,3334,bold-only,bold-title,**Decisions / Action Items:**
title:describing actions taken,heading-4=1,1,7041,heading-4,heading,#### 3. Describing Actions Taken
title:describing risk,heading-4=1,1,4110,heading-4,heading,#### 1. Describing Risk
title:diplomatic frames for highlighting errors,heading-4=1,1,1812,heading-4,heading,#### 1. Diplomatic Frames for Highlighting Errors
title:discussion questions - activate prior knowledge,heading-4=2,2,396,heading-4,heading,#### Discussion Questions — Activate Prior Knowledge (A1)
title:discussion questions - activate prior knowledge,heading-4=2,2,7642,heading-4,heading,#### Discussion Questions — Activate Prior Knowledge (A1)
title:draft a justification for one scenario - justification writing practice,heading-4=1,1,6707,heading-4,heading,#### Draft A Justification For One Scenario — Justification Writing Practice (D2)
title:e. freer writing,heading-3=23,23,288,heading-3,heading,### E. Freer Writing
title:e. freer writing,heading-3=23,23,600,heading-3,heading,### E. Freer Writing
title:e. freer writing,heading-3=23,23,926,heading-3,heading,### E. Freer Writing
title:e. freer writing,heading-3=23,23,1252,heading-3,heading,### E. Freer Writing
title:e. freer writing,heading-3=23,23,1578,heading-3,heading,### E. Freer Writing
title:e. freer writing,heading-3=23,23,1925,heading-3,heading,### E. Freer Writing
title:e. freer writing,heading-3=23,23,2231,heading-3,heading,### E. Freer Writing
title:e. freer writing,heading-3=23,23,2539,heading-3,heading,### E. Freer Writing
title:editing exercise - conditional and hedging structures,heading-4=1,1,4299,heading-4,heading,#### Editing Exercise — Conditional And Hedging Structures (G1)
title:editing exercise - improve clarity and flow,heading-4=8,8,329,heading-4,heading,#### Editing Exercise — Improve Clarity And Flow (G1)
title:editing exercise - improve clarity and flow,heading-4=8,8,649,heading-4,heading,#### Editing Exercise — Improve Clarity And Flow (G1)
title:editing exercise - improve clarity and flow,heading-4=8,8,970,heading-4,heading,#### Editing Exercise — Improve Clarity And Flow (G1)
title:editing exercise - improve clarity and flow,heading-4=8,8,1309,heading-4,heading,#### Editing Exercise — Improve Clarity And Flow (G1)
title:editing exercise - improve clarity and flow,heading-4=8,8,1636,heading-4,heading,#### Editing Exercise — Improve Clarity And Flow (G1)
title:editing exercise - improve clarity and flow,heading-4=8,8,1982,heading-4,heading,#### Editing Exercise — Improve Clarity And Flow (G1)
title:editing exercise - improve clarity and flow,heading-4=8,8,2288,heading-4,heading,#### Editing Exercise — Improve Clarity And Flow (G1)
title:editing exercise - improve clarity and flow,heading-4=8,8,3218,heading-4,heading,#### Editing Exercise — Improve Clarity And Flow (G1)
title:editing workshop - paragraph-level,heading-4=10,10,2594,heading-4,heading,#### Editing Workshop — Paragraph-Level (G2)
title:editing workshop - paragraph-level,heading-4=10,10,2911,heading-4,heading,#### Editing Workshop — Paragraph-Level (G2)
title:editing workshop - paragraph-level,heading-4=10,10,3538,heading-4,heading,#### Editing Workshop — Paragraph-Level (G2)
title:editing workshop - paragraph-level,heading-4=10,10,3939,heading-4,heading,#### Editing Workshop — Paragraph-Level (G2)
title:editing workshop - paragraph-level,heading-4=10,10,4663,heading-4,heading,#### Editing Workshop — Paragraph-Level (G2)
title:editing workshop - paragraph-level,heading-4=10,10,5688,heading-4,heading,#### Editing Workshop — Paragraph-Level (G2)
title:editing workshop - paragraph-level,heading-4=10,10,6020,heading-4,heading,#### Editing Workshop — Paragraph-Level (G2)
title:editing workshop - paragraph-level,heading-4=10,10,6421,heading-4,heading,#### Editing Workshop — Paragraph-Level (G2)
title:error identification & correction - find and fix errors,heading-4=2,2,4178,heading-4,heading,#### Error Identification & Correction — Find And Fix Errors (C4)
title:error identification & correction - find and fix errors,heading-4=2,2,5229,heading-4,heading,#### Error Identification & Correction — Find And Fix Errors (C4)
title:error identification and correction - guided skill practice,heading-4=1,1,7408,heading-4,heading,#### 1. Error Identification And Correction — Guided Skill Practice (C4)
title:error identification and correction - self-diagnosis,heading-4=1,1,7711,heading-4,heading,#### Error Identification And Correction — Self-Diagnosis (C4)
title:expansion task - develop supporting detail,heading-4=2,2,2771,heading-4,heading,#### Expansion Task — Develop Supporting Detail (C7)
title:expansion task - develop supporting detail,heading-4=2,2,4865,heading-4,heading,#### Expansion Task — Develop Supporting Detail (C7)
title:explaining impact and proposing mitigation,heading-4=1,1,4146,heading-4,heading,#### 2. Explaining Impact and Proposing Mitigation
title:explaining impact without assigning blame,heading-4=1,1,1839,heading-4,heading,#### 2. Explaining Impact Without Assigning Blame
title:explaining purpose and impact,heading-4=1,1,6220,heading-4,heading,#### 2. Explaining Purpose and Impact
title:explanation,bold-only=1,1,1128,bold-only,bold-title,**Explanation**
title:extension task - advanced transfer practice,heading-4=23,23,369,heading-4,heading,#### Extension Task — Advanced Transfer Practice (H1)
title:extension task - advanced transfer practice,heading-4=23,23,688,heading-4,heading,#### Extension Task — Advanced Transfer Practice (H1)
title:extension task - advanced transfer practice,heading-4=23,23,1010,heading-4,heading,#### Extension Task — Advanced Transfer Practice (H1)
title:extension task - advanced transfer practice,heading-4=23,23,1356,heading-4,heading,#### Extension Task — Advanced Transfer Practice (H1)
title:extension task - advanced transfer practice,heading-4=23,23,1686,heading-4,heading,#### Extension Task — Advanced Transfer Practice (H1)
title:extension task - advanced transfer practice,heading-4=23,23,2047,heading-4,heading,#### Extension Task — Advanced Transfer Practice (H1)
title:extension task - advanced transfer practice,heading-4=23,23,2332,heading-4,heading,#### Extension Task — Advanced Transfer Practice (H1)
title:extension task - advanced transfer practice,heading-4=23,23,2645,heading-4,heading,#### Extension Task — Advanced Transfer Practice (H1)
title:f. review & self-assessment,heading-3=23,23,313,heading-3,heading,### F. Review & Self-Assessment
title:f. review & self-assessment,heading-3=23,23,626,heading-3,heading,### F. Review & Self-Assessment
title:f. review & self-assessment,heading-3=23,23,947,heading-3,heading,### F. Review & Self-Assessment
title:f. review & self-assessment,heading-3=23,23,1282,heading-3,heading,### F. Review & Self-Assessment
title:f. review & self-assessment,heading-3=23,23,1609,heading-3,heading,### F. Review & Self-Assessment
title:f. review & self-assessment,heading-3=23,23,1955,heading-3,heading,### F. Review & Self-Assessment
title:f. review & self-assessment,heading-3=23,23,2261,heading-3,heading,### F. Review & Self-Assessment
title:f. review & self-assessment,heading-3=23,23,2568,heading-3,heading,### F. Review & Self-Assessment
title:format conversion - change document format,heading-4=4,4,3439,heading-4,heading,#### Format Conversion — Change Document Format (D7)
title:format conversion - change document format,heading-4=4,4,5602,heading-4,heading,#### Format Conversion — Change Document Format (D7)
title:format conversion - change document format,heading-4=4,4,6316,heading-4,heading,#### Format Conversion — Change Document Format (D7)
title:format conversion - change document format,heading-4=4,4,7149,heading-4,heading,#### Format Conversion — Change Document Format (D7)
title:formulating clear questions,bold-only=1,1,1457,bold-only,bold-title,**Formulating clear questions**
title:g. editing,heading-3=23,23,327,heading-3,heading,### G. Editing
title:g. editing,heading-3=23,23,647,heading-3,heading,### G. Editing
title:g. editing,heading-3=23,23,968,heading-3,heading,### G. Editing
title:g. editing,heading-3=23,23,1307,heading-3,heading,### G. Editing
title:g. editing,heading-3=23,23,1634,heading-3,heading,### G. Editing
title:g. editing,heading-3=23,23,1980,heading-3,heading,### G. Editing
title:g. editing,heading-3=23,23,2286,heading-3,heading,### G. Editing
title:g. editing,heading-3=23,23,2592,heading-3,heading,### G. Editing
title:guided peer review - structured feedback exchange,heading-4=12,12,628,heading-4,heading,#### Guided Peer Review — Structured Feedback Exchange (F1)
title:guided peer review - structured feedback exchange,heading-4=12,12,949,heading-4,heading,#### Guided Peer Review — Structured Feedback Exchange (F1)
title:guided peer review - structured feedback exchange,heading-4=12,12,2570,heading-4,heading,#### Guided Peer Review — Structured Feedback Exchange (F1)
title:guided peer review - structured feedback exchange,heading-4=12,12,2887,heading-4,heading,#### Guided Peer Review — Structured Feedback Exchange (F1)
title:guided peer review - structured feedback exchange,heading-4=12,12,3194,heading-4,heading,#### Guided Peer Review — Structured Feedback Exchange (F1)
title:guided peer review - structured feedback exchange,heading-4=12,12,3514,heading-4,heading,#### Guided Peer Review — Structured Feedback Exchange (F1)
title:guided peer review - structured feedback exchange,heading-4=12,12,4275,heading-4,heading,#### Guided Peer Review — Structured Feedback Exchange (F1)
title:guided peer review - structured feedback exchange,heading-4=12,12,4639,heading-4,heading,#### Guided Peer Review — Structured Feedback Exchange (F1)
title:h. homework & extension,heading-3=23,23,348,heading-3,heading,### H. Homework & Extension
title:h. homework & extension,heading-3=23,23,669,heading-3,heading,### H. Homework & Extension
title:h. homework & extension,heading-3=23,23,989,heading-3,heading,### H. Homework & Extension
title:h. homework & extension,heading-3=23,23,1328,heading-3,heading,### H. Homework & Extension
title:h. homework & extension,heading-3=23,23,1659,heading-3,heading,### H. Homework & Extension
title:h. homework & extension,heading-3=23,23,2004,heading-3,heading,### H. Homework & Extension
title:h. homework & extension,heading-3=23,23,2305,heading-3,heading,### H. Homework & Extension
title:h. homework & extension,heading-3=23,23,2621,heading-3,heading,### H. Homework & Extension
title:homework writing task - independent administrative writing,heading-4=23,23,350,heading-4,heading,#### Homework Writing Task — Independent Administrative Writing (H3)
title:homework writing task - independent administrative writing,heading-4=23,23,671,heading-4,heading,#### Homework Writing Task — Independent Administrative Writing (H3)
title:homework writing task - independent administrative writing,heading-4=23,23,991,heading-4,heading,#### Homework Writing Task — Independent Administrative Writing (H3)
title:homework writing task - independent administrative writing,heading-4=23,23,1330,heading-4,heading,#### Homework Writing Task — Independent Administrative Writing (H3)
title:homework writing task - independent administrative writing,heading-4=23,23,1661,heading-4,heading,#### Homework Writing Task — Independent Administrative Writing (H3)
title:homework writing task - independent administrative writing,heading-4=23,23,2021,heading-4,heading,#### Homework Writing Task — Independent Administrative Writing (H3)
title:homework writing task - independent administrative writing,heading-4=23,23,2307,heading-4,heading,#### Homework Writing Task — Independent Administrative Writing (H3)
title:homework writing task - independent administrative writing,heading-4=23,23,2623,heading-4,heading,#### Homework Writing Task — Independent Administrative Writing (H3)
title:how to use this rubric,heading-4=1,1,7931,heading-4,heading,#### How To Use This Rubric
title:identify improvements in:,bold-only=3,3,5161,bold-only,bold-title,**Identify Improvements In:**
title:identify improvements in:,bold-only=3,3,5489,bold-only,bold-title,**Identify Improvements In:**
title:identify improvements in:,bold-only=3,3,5797,bold-only,bold-title,**Identify Improvements In:**
title:identifying confusing sentences - guided skill practice,heading-4=1,1,30,heading-4,heading,#### Identifying Confusing Sentences — Guided Skill Practice (A2)
title:information reorganisation - restructure source information,heading-4=2,2,2514,heading-4,heading,#### Information Reorganisation — Restructure Source Information (D5)
title:information reorganisation - restructure source information,heading-4=2,2,7127,heading-4,heading,#### Information Reorganisation — Restructure Source Information (D5)
title:input n - email from office a,bold-only=1,1,7335,bold-only,bold-title,**Input 1 — Email from Office A**
title:input n - email from office b,bold-only=1,1,7338,bold-only,bold-title,**Input 2 — Email from Office B**
title:input n - internal meeting notes,bold-only=1,1,7341,bold-only,bold-title,**Input 3 — Internal Meeting Notes**
title:input n - updated instructions (issued last week),bold-only=1,1,7344,bold-only,bold-title,**Input 4 — Updated Instructions (Issued Last Week)**
title:introducing clarification,bold-only=1,1,1447,bold-only,bold-title,**Introducing clarification**
title:issues identified,bold-only=1,1,6901,bold-only,bold-title,**Issues Identified**
title:key points discussed:,bold-only=1,1,3327,bold-only,bold-title,**Key Points Discussed:**
title:key points:,bold-only=1,1,5476,bold-only,bold-title,**Key Points:**
title:learn - annotations:,bold-only=2,2,2739,bold-only,bold-title,**Learn — Annotations:**
title:learn - annotations:,bold-only=2,2,5181,bold-only,bold-title,**Learn — Annotations:**
title:learn - common forms:,bold-only=1,1,467,bold-only,bold-title,**Learn — Common Forms:**
title:learn - common patterns:,bold-only=1,1,117,bold-only,bold-title,**Learn — Common Patterns:**
title:learn - discuss:,bold-only=1,1,5772,bold-only,bold-title,**Learn — Discuss:**
title:learn - example:,bold-only=15,15,205,bold-only,bold-title,**Learn — Example:**
title:learn - example:,bold-only=15,15,3722,bold-only,bold-title,**Learn — Example:**
title:learn - example:,bold-only=15,15,3775,bold-only,bold-title,**Learn — Example:**
title:learn - example:,bold-only=15,15,4121,bold-only,bold-title,**Learn — Example:**
title:learn - example:,bold-only=15,15,4155,bold-only,bold-title,**Learn — Example:**
title:learn - example:,bold-only=15,15,6203,bold-only,bold-title,**Learn — Example:**
title:learn - example:,bold-only=15,15,6229,bold-only,bold-title,**Learn — Example:**
